Taskset,Algorithm,Number of Tasks,Utilization,Schedulable
tasksets/10-tasks/40-percent/taskset-173,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-173,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-173,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-174,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-174,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-174,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-175,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-175,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-175,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-176,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-176,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-176,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-177,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-177,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-177,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-178,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-178,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-178,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-179,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-179,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-179,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-18,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-18,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-18,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-180,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-180,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-180,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-181,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-181,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-181,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-182,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-182,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-182,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-183,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-183,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-183,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-184,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-184,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-184,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-185,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-185,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-185,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-186,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-186,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-186,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-187,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-187,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-187,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-188,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-188,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-188,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-189,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-189,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-189,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-19,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-19,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-19,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-190,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-190,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-190,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-191,dm,10,40,3
tasksets/10-tasks/40-percent/taskset-191,edf,10,40,2
tasksets/10-tasks/40-percent/taskset-191,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-192,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-192,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-192,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-193,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-193,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-193,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-194,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-194,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-194,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-195,dm,10,40,3
tasksets/10-tasks/40-percent/taskset-195,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-195,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-196,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-196,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-196,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-197,dm,10,40,3
tasksets/10-tasks/40-percent/taskset-197,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-197,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-198,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-198,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-198,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-199,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-199,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-199,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-2,dm,10,40,3
tasksets/10-tasks/40-percent/taskset-2,edf,10,40,2
tasksets/10-tasks/40-percent/taskset-2,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-20,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-20,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-20,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-200,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-200,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-200,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-201,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-201,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-201,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-202,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-202,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-202,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-203,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-203,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-203,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-204,dm,10,40,3
tasksets/10-tasks/40-percent/taskset-204,edf,10,40,2
tasksets/10-tasks/40-percent/taskset-204,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-205,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-205,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-205,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-206,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-206,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-206,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-207,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-207,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-207,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-208,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-208,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-208,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-209,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-209,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-209,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-21,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-21,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-21,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-210,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-210,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-210,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-211,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-211,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-211,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-212,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-212,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-212,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-213,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-213,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-213,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-214,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-214,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-214,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-215,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-215,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-215,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-216,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-216,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-216,rr,10,40,0
tasksets/10-tasks/40-percent/taskset-217,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-217,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-217,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-218,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-218,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-218,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-219,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-219,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-219,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-22,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-22,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-22,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-220,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-220,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-220,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-221,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-221,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-221,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-222,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-222,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-222,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-223,dm,10,40,3
tasksets/10-tasks/40-percent/taskset-223,edf,10,40,2
tasksets/10-tasks/40-percent/taskset-223,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-224,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-224,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-224,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-225,dm,10,40,3
tasksets/10-tasks/40-percent/taskset-225,edf,10,40,2
tasksets/10-tasks/40-percent/taskset-225,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-226,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-226,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-226,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-227,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-227,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-227,rr,10,40,0
tasksets/10-tasks/40-percent/taskset-228,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-228,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-228,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-229,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-229,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-229,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-23,dm,10,40,3
tasksets/10-tasks/40-percent/taskset-23,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-23,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-230,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-230,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-230,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-231,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-231,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-231,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-232,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-232,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-232,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-233,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-233,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-233,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-234,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-234,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-234,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-235,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-235,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-235,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-236,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-236,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-236,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-237,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-237,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-237,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-238,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-238,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-238,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-239,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-239,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-239,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-24,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-24,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-24,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-240,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-240,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-240,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-241,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-241,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-241,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-242,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-242,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-242,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-243,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-243,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-243,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-244,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-244,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-244,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-245,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-245,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-245,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-246,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-246,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-246,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-247,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-247,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-247,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-248,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-248,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-248,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-249,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-249,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-249,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-25,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-25,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-25,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-250,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-250,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-250,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-251,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-251,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-251,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-252,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-252,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-252,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-253,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-253,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-253,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-254,dm,10,40,3
tasksets/10-tasks/40-percent/taskset-254,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-254,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-255,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-255,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-255,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-256,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-256,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-256,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-257,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-257,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-257,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-258,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-258,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-258,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-259,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-259,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-259,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-26,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-26,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-26,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-260,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-260,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-260,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-261,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-261,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-261,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-262,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-262,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-262,rr,10,40,0
tasksets/10-tasks/40-percent/taskset-263,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-263,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-263,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-264,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-264,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-264,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-265,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-265,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-265,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-266,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-266,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-266,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-267,dm,10,40,3
tasksets/10-tasks/40-percent/taskset-267,edf,10,40,2
tasksets/10-tasks/40-percent/taskset-267,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-268,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-268,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-268,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-269,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-269,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-269,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-27,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-27,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-27,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-270,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-270,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-270,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-271,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-271,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-271,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-272,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-272,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-272,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-273,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-273,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-273,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-274,dm,10,40,3
tasksets/10-tasks/40-percent/taskset-274,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-274,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-275,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-275,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-275,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-276,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-276,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-276,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-277,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-277,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-277,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-278,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-278,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-278,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-279,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-279,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-279,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-28,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-28,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-28,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-280,dm,10,40,3
tasksets/10-tasks/40-percent/taskset-280,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-280,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-281,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-281,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-281,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-282,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-282,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-282,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-283,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-283,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-283,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-284,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-284,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-284,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-285,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-285,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-285,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-286,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-286,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-286,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-287,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-287,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-287,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-288,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-288,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-288,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-289,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-289,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-289,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-29,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-29,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-29,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-290,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-290,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-290,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-291,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-291,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-291,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-292,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-292,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-292,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-293,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-293,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-293,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-294,dm,10,40,3
tasksets/10-tasks/40-percent/taskset-294,edf,10,40,2
tasksets/10-tasks/40-percent/taskset-294,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-295,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-295,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-295,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-296,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-296,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-296,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-297,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-297,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-297,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-298,dm,10,40,3
tasksets/10-tasks/40-percent/taskset-298,edf,10,40,2
tasksets/10-tasks/40-percent/taskset-298,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-299,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-299,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-299,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-3,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-3,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-3,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-30,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-30,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-30,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-300,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-300,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-300,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-301,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-301,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-301,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-302,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-302,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-302,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-303,dm,10,40,3
tasksets/10-tasks/40-percent/taskset-303,edf,10,40,2
tasksets/10-tasks/40-percent/taskset-303,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-304,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-304,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-304,rr,10,40,0
tasksets/10-tasks/40-percent/taskset-305,dm,10,40,1
tasksets/10-tasks/40-percent/taskset-305,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-305,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-306,dm,10,40,3
tasksets/10-tasks/40-percent/taskset-306,edf,10,40,2
tasksets/10-tasks/40-percent/taskset-306,rr,10,40,2
tasksets/10-tasks/40-percent/taskset-307,dm,10,40,3
tasksets/10-tasks/40-percent/taskset-307,edf,10,40,0
tasksets/10-tasks/40-percent/taskset-307,rr,10,40,2
