Taskset,Algorithm,Number of Tasks,Utilization,Schedulable
tasksets/80-percent/4-tasks/taskset-168,dm,4,80%,3
tasksets/80-percent/4-tasks/taskset-168,edf,4,80%,2
tasksets/80-percent/4-tasks/taskset-168,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-169,dm,4,80%,3
tasksets/80-percent/4-tasks/taskset-169,edf,4,80%,2
tasksets/80-percent/4-tasks/taskset-169,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-17,dm,4,80%,3
tasksets/80-percent/4-tasks/taskset-17,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-17,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-170,dm,4,80%,3
tasksets/80-percent/4-tasks/taskset-170,edf,4,80%,2
tasksets/80-percent/4-tasks/taskset-170,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-171,dm,4,80%,3
tasksets/80-percent/4-tasks/taskset-171,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-171,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-172,dm,4,80%,3
tasksets/80-percent/4-tasks/taskset-172,edf,4,80%,2
tasksets/80-percent/4-tasks/taskset-172,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-173,dm,4,80%,3
tasksets/80-percent/4-tasks/taskset-173,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-173,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-174,dm,4,80%,3
tasksets/80-percent/4-tasks/taskset-174,edf,4,80%,2
tasksets/80-percent/4-tasks/taskset-174,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-175,dm,4,80%,3
tasksets/80-percent/4-tasks/taskset-175,edf,4,80%,2
tasksets/80-percent/4-tasks/taskset-175,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-176,dm,4,80%,3
tasksets/80-percent/4-tasks/taskset-176,edf,4,80%,2
tasksets/80-percent/4-tasks/taskset-176,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-177,dm,4,80%,3
tasksets/80-percent/4-tasks/taskset-177,edf,4,80%,2
tasksets/80-percent/4-tasks/taskset-177,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-178,dm,4,80%,1
tasksets/80-percent/4-tasks/taskset-178,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-178,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-179,dm,4,80%,1
tasksets/80-percent/4-tasks/taskset-179,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-179,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-18,dm,4,80%,1
tasksets/80-percent/4-tasks/taskset-18,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-18,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-180,dm,4,80%,3
tasksets/80-percent/4-tasks/taskset-180,edf,4,80%,2
tasksets/80-percent/4-tasks/taskset-180,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-181,dm,4,80%,1
tasksets/80-percent/4-tasks/taskset-181,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-181,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-182,dm,4,80%,3
tasksets/80-percent/4-tasks/taskset-182,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-182,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-183,dm,4,80%,3
tasksets/80-percent/4-tasks/taskset-183,edf,4,80%,2
tasksets/80-percent/4-tasks/taskset-183,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-184,dm,4,80%,1
tasksets/80-percent/4-tasks/taskset-184,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-184,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-185,dm,4,80%,3
tasksets/80-percent/4-tasks/taskset-185,edf,4,80%,2
tasksets/80-percent/4-tasks/taskset-185,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-186,dm,4,80%,3
tasksets/80-percent/4-tasks/taskset-186,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-186,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-187,dm,4,80%,1
tasksets/80-percent/4-tasks/taskset-187,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-187,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-188,dm,4,80%,1
tasksets/80-percent/4-tasks/taskset-188,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-188,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-189,dm,4,80%,1
tasksets/80-percent/4-tasks/taskset-189,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-189,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-19,dm,4,80%,1
tasksets/80-percent/4-tasks/taskset-19,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-19,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-190,dm,4,80%,1
tasksets/80-percent/4-tasks/taskset-190,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-190,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-191,dm,4,80%,1
tasksets/80-percent/4-tasks/taskset-191,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-191,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-192,dm,4,80%,3
tasksets/80-percent/4-tasks/taskset-192,edf,4,80%,2
tasksets/80-percent/4-tasks/taskset-192,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-193,dm,4,80%,3
tasksets/80-percent/4-tasks/taskset-193,edf,4,80%,2
tasksets/80-percent/4-tasks/taskset-193,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-194,dm,4,80%,1
tasksets/80-percent/4-tasks/taskset-194,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-194,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-195,dm,4,80%,3
tasksets/80-percent/4-tasks/taskset-195,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-195,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-196,dm,4,80%,3
tasksets/80-percent/4-tasks/taskset-196,edf,4,80%,2
tasksets/80-percent/4-tasks/taskset-196,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-197,dm,4,80%,3
tasksets/80-percent/4-tasks/taskset-197,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-197,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-198,dm,4,80%,3
tasksets/80-percent/4-tasks/taskset-198,edf,4,80%,2
tasksets/80-percent/4-tasks/taskset-198,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-199,dm,4,80%,3
tasksets/80-percent/4-tasks/taskset-199,edf,4,80%,2
tasksets/80-percent/4-tasks/taskset-199,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-2,dm,4,80%,1
tasksets/80-percent/4-tasks/taskset-2,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-2,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-20,dm,4,80%,3
tasksets/80-percent/4-tasks/taskset-20,edf,4,80%,2
tasksets/80-percent/4-tasks/taskset-20,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-200,dm,4,80%,3
tasksets/80-percent/4-tasks/taskset-200,edf,4,80%,2
tasksets/80-percent/4-tasks/taskset-200,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-201,dm,4,80%,1
tasksets/80-percent/4-tasks/taskset-201,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-201,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-202,dm,4,80%,1
tasksets/80-percent/4-tasks/taskset-202,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-202,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-203,dm,4,80%,3
tasksets/80-percent/4-tasks/taskset-203,edf,4,80%,2
tasksets/80-percent/4-tasks/taskset-203,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-204,dm,4,80%,1
tasksets/80-percent/4-tasks/taskset-204,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-204,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-205,dm,4,80%,3
tasksets/80-percent/4-tasks/taskset-205,edf,4,80%,2
tasksets/80-percent/4-tasks/taskset-205,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-206,dm,4,80%,3
tasksets/80-percent/4-tasks/taskset-206,edf,4,80%,2
tasksets/80-percent/4-tasks/taskset-206,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-207,dm,4,80%,3
tasksets/80-percent/4-tasks/taskset-207,edf,4,80%,2
tasksets/80-percent/4-tasks/taskset-207,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-208,dm,4,80%,3
tasksets/80-percent/4-tasks/taskset-208,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-208,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-209,dm,4,80%,3
tasksets/80-percent/4-tasks/taskset-209,edf,4,80%,2
tasksets/80-percent/4-tasks/taskset-209,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-21,dm,4,80%,1
tasksets/80-percent/4-tasks/taskset-21,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-21,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-210,dm,4,80%,1
tasksets/80-percent/4-tasks/taskset-210,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-210,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-211,dm,4,80%,1
tasksets/80-percent/4-tasks/taskset-211,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-211,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-212,dm,4,80%,1
tasksets/80-percent/4-tasks/taskset-212,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-212,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-213,dm,4,80%,1
tasksets/80-percent/4-tasks/taskset-213,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-213,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-214,dm,4,80%,3
tasksets/80-percent/4-tasks/taskset-214,edf,4,80%,2
tasksets/80-percent/4-tasks/taskset-214,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-215,dm,4,80%,1
tasksets/80-percent/4-tasks/taskset-215,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-215,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-216,dm,4,80%,3
tasksets/80-percent/4-tasks/taskset-216,edf,4,80%,2
tasksets/80-percent/4-tasks/taskset-216,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-217,dm,4,80%,1
tasksets/80-percent/4-tasks/taskset-217,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-217,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-218,dm,4,80%,3
tasksets/80-percent/4-tasks/taskset-218,edf,4,80%,2
